MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,5,8,95, false
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
258,13.241966,50,52,
259,13.232121,50,52,
260,13.222276,50,52,
261,13.21243,50,52,
262,13.202585,50,52,
263,13.19274,50,52,
264,13.182895,50,52,
265,13.173049,50,52,
266,13.163204,50,52,
267,13.153359,50,52,
268,13.143514,50,52,
269,13.133668,50,52,
270,13.123823,50,52,
271,13.113978,50,52,
272,13.104132,50,52,
273,13.094287,50,52,
274,13.084442,50,52,
275,13.074597,50,52,
276,13.064751,50,52,
277,13.054906,50,52,
278,13.045061,50,52,
279,13.035216,50,52,
280,13.02537,50,52,
281,13.015525,50,52,
282,13.00568,50,52,
283,12.995835,50,52,
284,12.985989,50,52,
285,12.976144,50,52,
286,12.966299,50,52,
287,12.956453,50,52,
288,12.946608,50,52,
289,12.936763,50,52,
290,12.926918,50,52,
291,12.917072,50,52,
292,12.907227,50,52,
293,12.897382,50,52,
294,12.887537,50,52,
295,12.877691,50,52,
296,12.867846,50,52,
297,12.858001,50,52,
298,12.848155,50,52,
299,12.83831,50,52,
300,12.828465,50,52,
301,12.81862,50,52,
302,12.808774,50,52,
303,12.798929,50,52,
304,12.789084,50,52,
305,12.779239,50,52,
306,12.769393,50,52,
307,12.759548,50,52,
308,12.749703,50,52,
309,12.739858,50,52,
310,12.730012,50,52,
311,12.720167,50,52,
312,12.710322,50,52,
313,12.700476,50,52,
314,12.690631,50,52,
315,12.680786,50,52,
316,12.670941,50,52,
317,12.661095,50,52,
318,12.65125,50,52,
319,12.641405,50,52,
320,12.63156,50,52,
321,12.621714,50,52,
322,12.611869,50,52,
323,12.602024,50,52,
324,12.592213,50,52,
325,12.582402,50,52,
326,12.572591,50,52,
327,12.56278,50,52,
328,12.552968,50,52,
329,12.543157,50,52,
330,12.533346,50,52,
331,12.523535,50,52,
332,12.513724,50,52,
333,12.503912,50,52,
334,12.494101,50,52,
335,12.48429,50,52,
336,12.474479,50,52,
337,12.464668,50,52,
338,12.454856,50,52,
339,12.445045,50,52,
340,12.435234,50,52,
341,12.425423,50,52,
342,12.415622,50,52,
343,12.405845,50,52,
344,12.396068,50,52,
345,12.386291,50,52,
346,12.376514,50,52,
347,12.366737,50,52,
348,12.35696,50,52,
349,12.347182,50,52,
350,12.337405,50,52,
351,12.327628,50,52,
352,12.317851,50,52,
353,12.308074,50,52,
354,12.298297,50,52,
355,12.28852,50,52,
356,12.278742,50,52,
357,12.268965,50,52,
358,12.259188,50,52,
359,12.249411,50,52,
360,12.239634,50,52,
361,12.229857,50,52,
362,12.22008,50,52,
363,12.210302,50,52,
364,12.200525,50,52,
365,12.190748,50,52,
366,12.180971,50,52,
367,12.171194,50,52,
368,12.161417,50,52,
369,12.15164,50,52,
370,12.141862,50,52,
371,12.132085,50,52,
372,12.122308,50,52,
373,12.112531,50,52,
374,12.102776,50,52,
375,12.093033,50,52,
376,12.08329,50,52,
377,12.073546,50,52,
378,12.063803,50,52,
379,12.05406,50,52,
380,12.044317,50,52,
381,12.034574,50,52,
382,12.024831,50,52,
383,12.015088,50,52,
384,12.005345,50,52,
385,11.995602,50,52,
386,11.985859,50,52,
387,11.976116,50,52,
388,11.966373,50,52,
389,11.95663,50,52,
390,11.946887,50,52,
391,11.937144,50,52,
392,11.9274,50,52,
393,11.917657,50,52,
394,11.907914,50,52,
395,11.898171,50,52,
396,11.888428,50,52,
397,11.878685,50,52,
398,11.868942,50,52,
399,11.859199,50,52,
400,11.849456,50,52,
401,11.839713,50,52,
402,11.82997,50,52,
403,11.820227,50,52,
404,11.810484,50,52,
405,11.800741,50,52,
406,11.790997,50,52,
407,11.781254,50,52,
408,11.771511,50,52,
409,11.761768,50,52,
410,11.752025,50,52,
411,11.742282,50,52,
412,11.732539,50,52,
413,11.722796,50,52,
414,11.713053,50,52,
415,11.70331,50,52,
416,11.693567,50,52,
417,11.683824,50,52,
418,11.674081,50,52,
419,11.664338,50,52,
420,11.654594,50,52,
421,11.644851,50,52,
422,11.635108,50,52,
423,11.625365,50,52,
424,11.615622,50,52,
425,11.605879,50,52,
426,11.596136,50,52,
427,11.586393,50,52,
428,11.57665,50,52,
429,11.566907,50,52,
430,11.557164,50,52,
431,11.547421,50,52,
432,11.537678,50,52,
433,11.527935,50,52,
434,11.518199,50,52,
435,11.50849,50,52,
436,11.498781,50,52,
437,11.489072,50,52,
438,11.479363,50,52,
439,11.469654,50,52,
440,11.459945,50,52,
441,11.450236,50,52,
442,11.440527,50,52,
443,11.430818,50,52,
444,11.421109,50,52,
445,11.4114,50,52,
446,11.401691,50,52,
447,11.391982,50,52,
448,11.382273,50,52,
449,11.372564,50,52,
450,11.362889,50,52,
451,11.353214,50,52,
452,11.343539,50,52,
453,11.333864,50,52,
454,11.324189,50,52,
455,11.314514,50,52,
456,11.30484,50,52,
457,11.295165,50,52,
458,11.28549,50,52,
459,11.275822,50,52,
460,11.266181,50,52,
461,11.25654,50,52,
462,11.2469,50,52,
463,11.237262,50,52,
464,11.227655,50,52,
465,11.218048,50,52,
466,11.208442,50,52,
467,11.198835,50,52,
468,11.189228,50,52,
469,11.179621,50,52,
470,11.170014,50,52,
471,11.160408,50,52,
472,11.150835,50,52,
473,11.141296,50,52,
474,11.131758,50,52,
475,11.122219,50,52,
476,11.112697,50,52,
477,11.103192,50,52,
478,11.093688,50,52,
479,11.084183,50,52,
480,11.074679,50,52,
481,11.065174,50,52,
482,11.055669,50,52,
483,11.046165,50,52,
484,11.03666,50,52,
485,11.027156,50,52,
486,11.017682,50,52,
487,11.008211,50,52,
488,10.998741,50,52,
489,10.98927,50,52,
