MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 5, 8.000000, 85, true

Tic, MuscleMass, Anabolic, Catabolic
0, 16.182698, 50.000000, 52.000000
1, 16.198145, 74.190574, 69.668929
2, 16.217210, 68.784474, 63.713667
3, 16.240178, 63.499039, 57.921550
4, 16.263489, 58.343887, 53.117878
5, 16.269986, 53.434859, 52.013596
6, 16.295883, 76.364593, 68.733691
7, 16.325992, 70.921284, 62.811685
8, 16.359905, 65.596554, 57.208341
9, 16.392020, 60.399752, 52.956702
10, 16.407683, 55.514531, 52.006603
11, 16.440376, 80.189759, 70.150437
12, 16.477246, 74.677311, 64.197490
13, 16.518110, 69.279772, 58.414132
14, 16.559501, 64.005975, 53.480898
15, 16.588184, 58.895779, 52.021446
16, 16.628564, 79.419562, 66.944407
17, 16.671918, 73.938484, 61.177101
18, 16.716563, 68.578834, 55.896988
19, 16.756988, 63.371720, 52.617999
20, 16.783651, 58.335964, 52.027709
21, 16.824092, 82.663813, 69.943259
22, 16.868316, 77.126846, 64.024415
23, 16.915130, 71.701804, 58.260074
24, 16.962013, 66.397374, 53.356368
25, 17.000377, 61.220432, 52.013066
26, 17.048237, 84.821866, 69.394266
27, 17.098128, 79.258868, 63.509291
28, 17.148359, 73.806455, 57.878073
29, 17.196512, 68.472422, 53.317377
30, 17.238491, 63.272625, 52.030417
31, 17.288220, 86.633748, 69.249387
32, 17.338877, 81.052705, 63.371375
33, 17.389300, 75.580148, 57.723279
34, 17.438521, 70.223649, 53.219126
35, 17.483955, 64.997318, 52.026745
36, 17.535922, 90.811684, 71.223302
37, 17.587984, 85.168364, 65.304920
38, 17.639158, 79.629878, 59.533339
39, 17.689224, 74.203313, 54.184165
40, 17.738482, 68.894436, 52.028216
41, 17.791942, 95.002444, 71.525951
42, 17.844411, 89.302811, 65.634185
43, 17.895750, 83.704674, 59.927126
44, 17.945906, 78.214462, 54.684146
45, 17.995291, 72.837538, 52.069988
46, 18.048447, 96.577579, 69.723917
47, 18.100556, 90.870256, 63.878165
48, 18.151521, 85.262790, 58.324836
49, 18.201444, 79.761511, 53.807582
50, 18.250678, 74.371616, 52.080895
51, 18.303886, 98.852692, 70.348147
52, 18.356129, 93.124869, 64.505659
53, 18.407257, 87.494770, 58.894598
54, 18.457326, 81.968528, 54.063851
55, 18.506941, 76.551190, 52.092823
56, 18.560128, 99.954917, 69.534083
57, 18.612247, 94.222702, 63.728675
58, 18.663224, 88.587535, 58.144014
59, 18.713125, 83.055397, 53.321145
60, 18.762723, 77.631107, 52.022805
61, 18.816480, 105.184597, 72.768007
62, 18.869200, 99.385113, 66.886137
63, 18.920803, 93.679467, 61.158551
64, 18.971245, 88.072918, 55.731516
65, 19.020974, 82.569874, 52.586537
66, 19.074221, 105.864140, 70.006499
67, 19.126414, 100.072746, 64.219977
68, 19.177498, 94.373897, 58.723073
69, 19.227591, 88.773087, 54.190253
70, 19.277256, 83.274811, 52.307246
71, 19.330757, 108.649857, 71.386952
72, 19.383216, 102.831328, 65.561781
73, 19.434563, 97.103532, 59.951566
74, 19.484861, 91.471698, 55.071000
75, 19.534515, 85.940102, 52.259002
76, 19.587969, 110.913407, 71.048758
77, 19.640379, 105.074572, 65.238249
78, 19.691657, 99.325054, 59.571349
79, 19.741799, 93.669931, 54.386752
80, 19.791440, 88.113289, 52.203831
81, 19.844940, 113.470589, 71.325159
82, 19.897396, 107.609780, 65.520347
83, 19.948724, 101.837078, 59.860731
84, 19.998975, 96.157072, 54.889422
85, 20.048675, 90.573592, 52.461440
86, 20.102220, 115.929875, 71.608333
87, 20.154732, 110.047724, 65.813160
88, 20.206132, 104.251675, 60.190934
89, 20.256422, 98.546428, 55.058991
90, 20.306135, 92.935752, 52.518336
91, 20.359738, 118.706742, 72.015558
92, 20.412318, 112.800990, 66.220196
93, 20.463795, 106.979422, 60.596919
94, 20.514191, 101.246649, 55.533415
95, 20.563909, 95.606341, 52.548951
96, 20.617937, 124.306043, 74.393621
97, 20.670963, 118.336629, 68.556674
98, 20.722911, 112.449061, 62.870384
99, 20.773717, 106.647348, 57.381669
100, 20.823582, 100.934833, 53.181716
101, 20.877393, 127.210560, 73.160355
102, 20.930202, 121.218337, 67.395022
103, 20.981933, 115.306278, 61.804708
104, 21.032536, 109.478382, 56.461417
105, 21.082336, 103.737888, 52.895232
106, 21.136164, 130.484986, 73.268816
107, 21.188984, 124.465801, 67.477130
108, 21.240715, 118.525083, 61.830592
109, 21.291348, 112.666706, 56.608916
110, 21.341160, 106.893807, 52.949748
111, 21.394992, 133.480893, 73.227980
112, 21.447820, 127.435648, 67.446857
113, 21.499560, 121.467430, 61.803563
114, 21.550149, 115.580088, 56.362029
115, 21.599878, 109.776619, 52.586709
116, 21.653928, 138.488367, 74.586041
117, 21.706988, 132.397416, 68.792237
118, 21.758988, 126.381521, 63.171635
119, 21.809910, 120.444047, 57.917290
120, 21.859858, 114.587806, 53.530540
121, 21.914099, 143.542058, 75.742790
122, 21.967365, 137.404442, 69.938344
123, 22.019585, 131.339853, 64.297932
124, 22.070715, 125.351506, 58.909481
125, 22.120845, 119.442065, 54.334708
126, 22.175161, 147.942597, 76.211669
127, 22.228506, 141.769828, 70.397345
128, 22.280802, 135.668316, 64.719420
129, 22.332000, 129.641233, 59.277480
130, 22.382241, 123.691126, 54.847347
131, 22.436635, 152.094950, 76.671908
132, 22.490063, 145.889908, 70.857593
133, 22.542449, 139.754610, 65.177295
134, 22.593742, 133.692074, 59.719498
135, 22.644010, 127.704720, 54.979490
136, 22.698566, 157.188102, 77.691270
137, 22.752170, 150.941700, 71.865635
138, 22.804748, 144.763202, 66.170764
139, 22.856229, 138.655460, 60.616538
140, 22.906606, 132.620797, 55.481238
141, 22.961062, 160.642676, 77.070696
142, 23.014563, 154.373016, 71.271013
143, 23.067032, 148.170091, 65.607156
144, 23.118405, 142.036731, 60.109955
145, 23.168742, 135.975153, 55.298135
146, 23.223540, 166.852264, 79.169514
147, 23.277395, 160.533038, 73.331732
148, 23.330239, 154.278973, 67.623408
149, 23.382004, 148.092525, 62.053735
150, 23.432721, 141.975726, 57.035615
151, 23.487765, 172.572541, 80.723223
152, 23.541885, 166.210337, 74.862174
153, 23.595012, 159.911507, 69.128227
154, 23.647081, 153.678430, 63.530451
155, 23.698028, 147.513047, 58.088972
156, 23.752979, 175.954862, 80.233401
157, 23.807006, 169.574019, 74.394953
158, 23.860036, 163.255473, 68.683622
159, 23.912004, 157.001606, 63.108844
160, 23.962905, 150.814304, 57.937166
161, 24.017905, 179.589453, 80.530222
162, 24.071987, 173.186590, 74.695262
163, 24.125081, 166.844869, 68.986316
164, 24.177121, 160.566611, 63.412806
165, 24.228048, 154.353674, 58.023320
166, 24.283079, 183.048880, 80.808989
167, 24.337194, 176.626662, 74.979724
168, 24.390325, 170.264795, 69.279764
169, 24.442408, 163.965414, 63.718856
170, 24.493434, 157.730265, 58.531811
171, 24.548776, 187.773029, 82.753656
172, 24.603219, 181.320706, 76.891795
173, 24.656695, 174.927588, 71.153574
174, 24.709143, 168.595723, 65.547912
175, 24.760519, 162.326783, 60.171812
176, 24.816065, 191.050386, 84.067516
177, 24.870723, 184.580712, 78.187746
178, 24.924427, 178.169547, 72.430189
179, 24.977120, 171.818784, 66.803322
180, 25.028737, 165.530021, 61.315372
181, 25.084318, 192.849428, 84.276369
182, 25.139014, 186.375785, 78.401369
183, 25.192760, 179.960235, 72.648169
184, 25.245498, 173.604593, 67.025208
185, 25.297165, 167.310401, 61.540679
186, 25.352802, 193.958752, 84.735035
187, 25.407564, 187.487654, 78.861934
188, 25.461383, 181.074247, 73.109304
189, 25.514201, 174.720338, 67.485863
190, 25.565956, 168.427458, 61.999223
191, 25.621725, 195.296051, 85.623775
192, 25.676626, 188.825381, 79.742147
193, 25.730593, 182.412040, 73.980087
194, 25.783568, 176.057773, 68.346048
195, 25.835494, 169.764088, 62.858994
196, 25.891603, 196.837373, 87.840138
197, 25.946860, 190.365019, 81.921978
198, 26.001202, 183.949724, 76.121135
199, 26.054575, 177.593133, 70.445736
200, 26.106921, 171.296694, 64.902902
201, 26.163200, 197.098780, 89.021042
202, 26.218635, 190.636048, 83.089069
203, 26.273166, 184.230249, 77.273353
204, 26.326742, 177.882957, 71.581598
205, 26.379304, 171.595604, 66.020729
206, 26.435723, 196.836339, 90.041874
207, 26.491311, 190.387428, 84.100100
208, 26.546005, 183.995312, 78.272902
209, 26.599753, 177.661635, 72.568329
210, 26.652499, 171.387839, 66.993274
211, 26.708949, 196.238947, 90.336827
212, 26.764571, 189.806720, 84.400002
