MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 5, 8.000000, 75, true

Tic, MuscleMass, Anabolic, Catabolic
0, 16.802722, 50.000000, 52.000000
1, 16.814103, 67.275912, 64.151544
2, 16.828988, 62.075608, 58.432287
3, 16.843736, 57.029105, 53.689977
4, 16.845818, 52.557219, 52.061556
5, 16.837128, 50.237920, 52.000000
6, 16.848258, 66.582116, 63.477390
7, 16.862042, 61.492538, 58.058777
8, 16.874288, 56.695350, 53.844154
9, 16.877018, 52.779367, 52.115306
10, 16.869756, 50.531986, 52.000000
11, 16.882341, 67.756431, 64.220089
12, 16.897538, 62.601631, 58.755666
13, 16.911747, 57.752068, 54.393048
14, 16.918367, 53.710525, 52.185725
15, 16.913502, 51.031552, 52.000000
16, 16.928796, 68.869028, 64.625503
17, 16.947725, 63.653223, 58.926961
18, 16.967747, 58.601903, 54.002975
19, 16.975819, 53.887372, 52.082606
20, 16.970069, 50.846151, 52.000000
21, 16.983812, 67.440376, 63.660401
22, 17.000516, 62.284321, 58.141469
23, 17.017073, 57.428702, 53.633228
24, 17.021857, 53.147204, 52.057995
25, 17.014624, 50.539486, 52.000000
26, 17.027715, 67.703915, 64.099460
27, 17.044187, 62.521755, 58.452611
28, 17.060560, 57.522817, 53.779753
29, 17.064968, 53.085759, 52.072254
30, 17.057985, 50.589194, 52.000000
31, 17.071734, 68.371175, 64.595072
32, 17.088873, 63.169693, 58.929250
33, 17.105751, 58.121725, 54.241055
34, 17.111831, 53.576240, 52.198626
35, 17.105510, 50.743679, 52.009863
36, 17.119168, 67.727269, 63.991691
37, 17.135959, 62.547974, 58.411182
38, 17.151642, 57.570958, 53.966784
39, 17.156680, 53.274690, 52.127531
40, 17.149822, 50.615096, 52.000000
41, 17.163591, 68.767546, 64.883076
42, 17.180607, 63.577940, 59.257535
43, 17.197628, 58.636293, 54.619874
44, 17.206243, 54.326695, 52.347630
45, 17.202632, 51.317124, 52.004833
46, 17.218253, 68.646214, 64.269308
47, 17.237157, 63.459120, 58.688067
48, 17.255636, 58.454679, 54.123806
49, 17.263696, 54.054339, 52.190804
50, 17.259592, 51.210776, 52.000000
51, 17.276194, 70.321361, 65.665758
52, 17.296209, 65.089989, 60.000461
53, 17.317383, 60.012827, 55.035556
54, 17.330105, 55.281962, 52.405620
55, 17.328371, 51.708862, 52.000000
56, 17.345664, 68.923893, 64.167640
57, 17.366398, 63.732715, 58.571410
58, 17.387079, 58.709735, 53.935436
59, 17.396070, 54.096951, 52.081875
60, 17.390306, 50.844508, 52.000000
61, 17.406133, 70.807351, 66.331018
62, 17.425627, 65.564346, 60.581763
63, 17.447197, 60.449655, 55.376668
64, 17.461756, 55.597754, 52.346565
65, 17.460186, 51.724383, 52.000000
66, 17.477608, 69.405814, 64.532638
67, 17.498740, 64.205505, 58.881818
68, 17.519779, 59.154142, 54.240199
69, 17.528061, 54.426691, 52.461755
70, 17.524925, 51.506225, 52.013668
71, 17.542823, 71.857921, 66.651253
72, 17.564537, 66.600923, 60.866603
73, 17.588798, 61.466001, 55.557781
74, 17.606470, 56.546007, 52.388239
75, 17.608611, 52.575997, 52.000000
76, 17.629759, 72.133333, 66.077260
77, 17.654451, 66.879759, 60.410236
78, 17.680642, 61.756150, 55.387761
79, 17.699402, 56.832049, 52.457842
80, 17.702393, 52.762793, 52.004692
81, 17.724087, 71.552911, 65.445808
82, 17.749074, 66.312346, 59.864909
83, 17.774807, 61.233331, 55.035216
84, 17.792829, 56.494939, 52.366848
85, 17.795361, 52.626980, 52.000000
86, 17.816077, 71.008002, 65.114358
87, 17.840152, 65.803992, 59.527271
88, 17.865072, 60.792684, 54.696258
89, 17.881568, 56.222521, 52.246585
90, 17.883867, 52.689806, 52.004788
91, 17.905357, 72.886895, 66.553789
92, 17.930530, 67.638662, 60.846577
93, 17.957416, 62.521691, 55.686042
94, 17.978533, 57.726479, 52.507648
95, 17.985598, 53.750686, 52.012682
96, 18.010315, 72.830499, 65.664702
