MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,9,8,95, true
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
186,19.366808,59.018801,52.207311,
187,19.376899,54.182161,52,
188,19.370035,50.617735,52,
189,19.360502,50.06329,52,
190,19.381138,85.120603,78.34697,
191,19.405299,79.693584,72.354051,
192,19.433336,74.373149,66.496017,
193,19.465717,69.166057,60.782187,
194,19.50273,64.078385,55.278736,
195,19.534211,59.116467,52.101977,
196,19.544924,54.315345,52,
197,19.538438,50.686193,52,
198,19.528611,50.003542,52,
199,19.548524,83.744837,77.295095,
200,19.571968,78.35464,71.33337,
201,19.599293,73.072263,65.510633,
202,19.630931,67.904317,59.841945,
203,19.666371,62.856942,54.547819,
204,19.692037,57.943163,52.232233,
205,19.69784,53.294779,52,
206,19.69128,50.680571,52,
207,19.681685,50.0504,52,
208,19.701658,83.633032,77.168924,
209,19.725182,78.254027,71.21711,
210,19.752595,72.982535,65.404727,
211,19.784328,67.825389,59.746864,
212,19.819975,62.789838,54.444539,
213,19.845592,57.891554,52.197103,
214,19.851107,53.233091,52,
215,19.844356,50.64048,52,
216,19.834812,50.061196,52,
217,19.855732,85.872133,78.948629,
218,19.880164,80.458211,72.964572,
219,19.908466,75.15003,67.114428,
220,19.941105,69.953885,61.407091,
221,19.978304,64.875635,55.919751,
222,20.011825,59.921426,52.367529,
223,20.026133,55.122557,52,
224,20.022746,51.331591,52,
225,20.013206,50.061923,52,
226,20.033739,85.016695,78.26479,
227,20.057828,79.630435,72.304542,
228,20.085816,74.349698,66.478283,
229,20.118166,69.181283,60.79532,
230,20.154919,64.13122,55.370991,
231,20.185471,59.205752,52.352707,
232,20.196621,54.441387,52,
233,20.191524,50.989135,52,
234,20.182372,50.141615,52,
235,20.203054,84.852652,78.07113,
236,20.227308,79.478614,72.122288,
237,20.255456,74.210026,66.311714,
238,20.28792,69.05369,60.653134,
239,20.32496,64.018372,55.209929,
240,20.356145,59.117329,52.154333,
241,20.367163,54.388868,52,
242,20.361171,50.79557,52,
243,20.35162,50.059884,52,
244,20.372254,85.362976,78.542771,
245,20.396456,79.989602,72.592006,
246,20.424564,74.7209,66.774416,
247,20.457034,69.5636,61.099728,
248,20.493761,64.523667,55.710182,
249,20.525822,59.608553,52.389845,
250,20.539037,54.891261,52,
251,20.534623,51.130223,52,
252,20.525507,50.149218,52,
253,20.546657,85.954321,78.944692,
254,20.571351,80.577386,72.991308,
255,20.599942,75.305137,67.170952,
256,20.632895,70.14384,61.492457,
257,20.670725,65.09925,55.972711,
258,20.705381,60.17741,52.361652,
259,20.720762,55.387062,52.001909,
260,20.717002,51.26915,52,
261,20.708236,50.223678,52,
262,20.729945,87.065728,79.773608,
263,20.755208,81.678482,73.810782,
264,20.784367,76.394591,67.979648,
265,20.817845,71.220369,62.295881,
266,20.855833,66.161492,56.828923,
267,20.89373,61.223854,52.540512,
268,20.913619,56.46224,52.009117,
269,20.913689,52.069722,52,
270,20.905367,50.319594,52,
271,20.926688,85.57549,78.508016,
272,20.951595,80.227696,72.581173,
273,20.980436,74.984337,66.788259,
274,21.013614,69.851782,61.14797,
275,21.051241,64.835772,55.730154,
276,21.083744,59.951116,52.487761,
277,21.09753,55.220621,52.020178,
278,21.094574,51.485089,52,
279,21.086937,50.467845,52,
280,21.10935,87.418915,79.863891,
281,21.135335,82.045405,73.91516,
282,21.16524,76.774873,68.097848,
283,21.199452,71.613297,62.420507,
284,21.238391,66.566214,56.891879,
285,21.276335,61.639433,52.756123,
286,21.29748,56.838835,52.016688,
287,21.29949,52.505881,52,
288,21.292018,50.500055,52,
289,21.314488,87.453319,79.865772,
290,21.340556,82.090313,73.925735,
291,21.370565,76.829662,68.116642,
292,21.404951,71.677632,62.447244,
293,21.444073,66.6398,56.926381,
294,21.482475,61.721958,52.735047,
295,21.503809,56.929972,52.014312,
296,21.506134,52.58825,52,
297,21.499155,50.605281,52,
298,21.522059,87.984607,80.207407,
299,21.548563,82.622755,74.26884,
300,21.579015,77.362686,68.460627,
301,21.61379,72.21054,62.79142,
302,21.653098,67.171799,57.299576,
303,21.693058,62.252148,52.814578,
304,21.716412,57.470394,52.040641,
305,21.720533,53.021977,52,
306,21.714109,50.730186,52,
307,21.737236,87.888707,80.032486,
308,21.763983,82.540171,74.106612,
309,21.794627,77.293231,68.311088,
310,21.829529,72.154006,62.654545,
311,21.869062,67.127936,57.148512,
312,21.908196,62.220677,52.887786,
313,21.931303,57.437974,52.008972,
314,21.935467,53.03976,52,
315,21.929122,50.747099,52,
316,21.952566,88.614424,80.598866,
317,21.979622,83.263283,74.66972,
318,22.010561,78.012736,68.869845,
319,22.045732,72.868941,63.207871,
320,22.08553,67.837323,57.692366,
321,22.12741,62.923481,52.925674,
322,22.153175,58.133222,52.068352,
323,22.159358,53.510623,52,
324,22.153796,50.920658,52,
325,22.177755,89.062086,80.819938,
326,22.205343,83.714936,74.895653,
327,22.23679,78.467683,69.100085,
328,22.272414,73.326589,63.441926,
329,22.312259,68.297029,57.987205,
330,22.353613,63.384499,53.282578,
331,22.381037,58.623493,52.058326,
332,22.390224,54.205801,52,
333,22.385253,51.069153,52,
334,22.409312,88.460191,80.222671,
335,22.436961,83.135394,74.319794,
336,22.468456,77.910728,68.546089,
337,22.50412,72.792437,62.910268,
338,22.544285,67.785909,57.420882,
339,22.58518,62.896678,52.911252,
340,22.610499,58.130414,52.032435,
341,22.616869,53.633215,52,
342,22.611392,50.97508,52,
343,22.635638,89.697765,81.284669,
344,22.663428,84.361391,75.368462,
345,22.695017,79.124228,69.580192,
346,22.73074,73.992142,63.928302,
347,22.770751,68.970348,58.460893,
348,22.813466,64.064764,53.532398,
349,22.843631,59.303554,52.043164,
350,22.855103,54.7331,52,
351,22.851602,51.36993,52,
352,22.876709,89.385116,80.725149,
353,22.905398,84.066401,74.830023,
354,22.937925,78.84692,69.063262,
355,22.974615,73.732578,63.433285,
356,23.015538,68.728602,58.003266,
357,23.058032,63.840366,53.296452,
358,23.087275,59.100642,52.022386,
359,23.098482,54.651387,52,
360,23.095996,51.5664,52,
361,23.121886,90.671921,81.59734,
362,23.151465,85.343562,75.69436,
363,23.184927,80.113065,69.918449,
364,23.222536,74.98636,64.280835,
365,23.26454,69.968593,58.797607,
366,23.308075,65.065039,54.06727,
367,23.339751,60.287136,52.286432,
368,23.353846,55.707694,52,
369,23.35389,52.319255,52,
370,23.381299,90.693269,81.02492,
371,23.41216,85.374073,75.141611,
372,23.446679,80.153078,69.386059,
373,23.485104,75.035909,63.766523,
374,23.527632,70.027551,58.291335,
375,23.573068,65.133165,53.25141,
376,23.606032,60.35818,52.009982,
377,23.620934,55.737525,52,
378,23.620031,52.050963,52,
379,23.646949,91.064218,81.53033,
380,23.677374,85.752723,75.647527,
381,23.711513,80.538382,69.891323,
382,23.749624,75.427091,64.270104,
383,23.79194,70.423883,58.792041,
384,23.836981,65.533902,53.809065,
385,23.870664,60.76252,52.154449,
386,23.886501,56.127349,52,
387,23.887095,52.507931,52,
388,23.915006,91.953363,81.88143,
389,23.946417,86.638336,76.000916,
390,23.981551,81.420069,70.246769,
391,24.020688,76.30405,64.627036,
392,24.064,71.295138,59.149772,
393,24.109992,66.398355,54.120842,
394,24.145485,61.618958,52.192152,
395,24.164335,56.973848,52.000078,
396,24.167494,53.119719,52,
397,24.196657,91.615041,81.132712,
398,24.229277,86.319425,75.278813,
399,24.265488,81.120086,69.551398,
400,24.305402,76.022804,63.963438,
401,24.348814,71.0325,58.571693,
402,24.393791,66.154179,53.705631,
403,24.429708,61.423344,52.001767,
404,24.449347,56.92743,52,
405,24.452922,53.027732,52,
406,24.483014,94.279751,83.330012,
407,24.516583,88.949646,77.440148,
408,24.55381,83.714212,71.674658,
409,24.594874,78.578679,66.041316,
410,24.639872,73.547701,60.547868,
411,24.688011,68.626063,55.293555,
412,24.730429,63.818798,52.316817,
413,24.75788,59.136901,52.002603,
414,24.767776,54.707521,52,
415,24.800852,93.803921,81.632284,
416,24.837465,88.498425,75.789537,
417,24.877791,83.287253,70.072275,
418,24.921934,78.176135,64.488887,
419,24.96951,73.169801,59.04737,
420,25.018299,68.273023,53.963038,
421,25.058278,63.490744,52.268563,
422,25.083021,58.828612,52.000052,
423,25.090862,54.519429,52,
424,25.123047,94.686573,82.483009,
425,25.158639,89.381282,76.634273,
426,25.197775,84.169384,70.909785,
427,25.240587,79.056475,65.317726,
428,25.286892,74.047209,59.866216,
429,25.335181,69.146294,54.722915,
430,25.376255,64.358626,52.270098,
431,25.403319,59.697419,52.001156,
432,25.41407,55.379034,52,
433,25.448292,96.679744,83.399863,
434,25.485829,91.353687,77.543862,
435,25.52678,86.119597,71.810961,
436,25.571127,80.982631,66.208995,
437,25.618384,75.947272,60.745634,
438,25.667202,71.018055,55.49164,
439,25.712314,66.199691,52.291244,
440,25.747066,61.496959,52,
441,25.765725,56.972882,52,
442,25.804117,98.09147,83.272659,
443,25.84596,92.760038,77.432044,
444,25.891173,87.519691,71.714754,
445,25.9391,82.375539,66.128595,
446,25.988755,77.331893,60.681141,
447,26.038454,72.393103,55.57941,
448,26.083682,67.56368,52.765949,
449,26.118508,62.848234,52.070433,
450,26.139217,58.324515,52,
451,26.179113,100.587795,84.20237,
452,26.221907,95.230642,78.354339,
453,26.267506,89.963202,72.628634,
454,26.315662,84.790191,67.032761,
455,26.365471,79.715671,61.5967,
