MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift, NutritionQualitry
50, 5, 8.000000, 95, true, 0.600000

Tic, MuscleMass, Anabolic, Catabolic
0, 16.161395, 50.000000, 52.000000
1, 16.186272, 81.595162, 73.846848
2, 16.221274, 76.981853, 66.939336
3, 16.267225, 72.410652, 60.283103
4, 16.316666, 67.888964, 54.158816
5, 16.362175, 63.423064, 52.007653
6, 16.415495, 93.723865, 72.915992
7, 16.468072, 89.043133, 66.055104
8, 16.519332, 84.393650, 59.456458
9, 16.569294, 79.780890, 53.582048
10, 16.618802, 75.209666, 52.000000
11, 16.672903, 107.643308, 74.603061
12, 16.725794, 102.914608, 67.696750
13, 16.777389, 98.207249, 61.037429
14, 16.827614, 93.525245, 54.717782
15, 16.877210, 88.872274, 52.014963
16, 16.931342, 121.512140, 74.802909
17, 16.984271, 116.763815, 67.910644
18, 17.035912, 112.028620, 61.272855
19, 17.086202, 107.309722, 55.000554
20, 17.135796, 102.610032, 52.007718
21, 17.190014, 135.898995, 75.307015
22, 17.243035, 131.151665, 68.404887
23, 17.294773, 126.410719, 61.748007
24, 17.345170, 121.678669, 55.473415
25, 17.394769, 116.957820, 52.030077
26, 17.448955, 150.017103, 75.149933
27, 17.501947, 145.288766, 68.267881
28, 17.553659, 140.561133, 61.630198
29, 17.604028, 135.836347, 55.359501
30, 17.653632, 131.116298, 52.052074
31, 17.707861, 164.456487, 75.373389
32, 17.760899, 159.760846, 68.496408
33, 17.812663, 155.061491, 61.870913
34, 17.863090, 150.360086, 55.600149
35, 17.912688, 145.658137, 52.024074
36, 17.966922, 179.171899, 75.466316
37, 18.019975, 174.523409, 68.615263
38, 18.071769, 169.867312, 62.039939
39, 18.122257, 165.205031, 55.880804
40, 18.171860, 160.537794, 52.043899
41, 18.226156, 192.655158, 75.831686
42, 18.279274, 188.058589, 68.966662
43, 18.331135, 183.451642, 62.361659
44, 18.381678, 178.835417, 56.125095
45, 18.431283, 174.210895, 52.053278
46, 18.485701, 198.803274, 76.515635
47, 18.538946, 194.241082, 69.639070
48, 18.590936, 189.667613, 63.003811
49, 18.641598, 185.083711, 56.668745
50, 18.691261, 180.490219, 52.295595
51, 18.745702, 199.657950, 76.670701
52, 18.798975, 195.114755, 69.801936
53, 18.850998, 190.560179, 63.173643
54, 18.901695, 185.995014, 56.831840
55, 18.951354, 181.420078, 52.280971
56, 19.005826, 199.847526, 76.894394
57, 19.059136, 195.321148, 70.031407
58, 19.111203, 190.783376, 63.414115
59, 19.161953, 186.234978, 57.078212
60, 19.211657, 181.676758, 52.474552
61, 19.266339, 199.959001, 78.135153
62, 19.319870, 195.448981, 71.241636
63, 19.372172, 190.927568, 64.586532
64, 19.423163, 186.395516, 58.177127
65, 19.472945, 181.853621, 52.805170
66, 19.527556, 199.878437, 77.746839
67, 19.581017, 195.383960, 70.879495
68, 19.633247, 190.878094, 64.250141
69, 19.684167, 186.361589, 57.876682
