MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift, NutritionQualitry
50, 5, 8.000000, 95, true, 0.700000

Tic, MuscleMass, Anabolic, Catabolic
0, 16.402184, 50.000000, 52.000000
1, 16.433254, 82.891659, 73.184358
2, 16.480921, 79.211074, 65.484818
3, 16.531884, 75.521955, 58.191226
4, 16.581480, 71.829354, 52.507855
5, 16.630488, 68.137309, 52.000000
6, 16.684430, 101.774150, 73.676786
7, 16.736995, 98.208057, 65.969666
8, 16.788085, 94.621338, 58.639702
9, 16.837850, 91.016795, 52.733848
10, 16.887442, 87.396792, 52.000000
11, 16.941431, 121.572925, 73.963619
12, 16.994049, 118.186990, 66.256514
13, 17.045203, 114.772805, 58.945428
14, 17.095007, 111.331961, 52.896891
15, 17.144599, 107.865749, 52.000000
16, 17.198755, 143.500791, 74.902679
17, 17.251548, 140.360820, 67.165676
18, 17.302884, 137.188607, 59.792926
19, 17.352775, 133.984888, 53.268653
20, 17.402367, 130.750188, 52.000000
21, 17.456376, 165.556048, 74.082735
22, 17.509023, 162.703381, 66.413253
23, 17.560214, 159.817258, 59.125000
24, 17.610049, 156.897987, 53.029242
25, 17.659641, 153.945684, 52.000000
26, 17.713520, 187.369322, 73.339332
27, 17.766031, 184.828219, 65.702827
28, 17.817076, 182.254710, 58.441829
29, 17.866835, 179.648849, 52.705177
30, 17.916427, 177.010500, 52.000000
31, 17.970274, 198.806061, 73.159363
32, 18.022753, 196.443926, 65.544689
33, 18.073767, 194.050989, 58.303203
34, 18.123518, 191.627001, 52.671979
35, 18.173110, 189.171692, 52.000000
36, 18.227280, 200.000000, 75.031163
37, 18.280102, 197.672357, 67.342922
38, 18.331481, 195.314359, 60.018062
39, 18.381443, 192.925689, 53.574137
40, 18.431036, 190.506039, 52.001936
41, 18.485136, 199.962665, 74.698996
42, 18.537895, 197.651601, 67.056922
43, 18.589223, 195.310357, 59.804754
44, 18.639203, 192.938620, 53.659124
45, 18.688796, 190.536089, 52.000392
46, 18.743048, 199.999819, 75.516502
47, 18.795965, 197.706127, 67.831441
48, 18.847452, 195.382458, 60.513179
49, 18.897449, 193.028498, 53.727207
50, 18.947042, 190.643937, 52.000000
51, 19.001370, 200.000000, 75.965657
52, 19.054367, 197.722892, 68.272651
53, 19.105940, 195.415995, 60.938244
54, 19.156026, 193.078994, 54.117382
55, 19.205621, 190.711584, 52.012731
56, 19.259974, 200.000000, 76.093398
57, 19.312998, 197.739220, 68.406412
58, 19.364604, 195.448836, 61.083221
59, 19.414717, 193.128534, 54.221022
60, 19.464309, 190.778007, 52.000000
61, 19.518732, 200.000000, 76.565409
62, 19.571835, 197.755297, 68.870240
63, 19.623527, 195.481171, 61.534463
64, 19.673750, 193.177312, 54.719737
65, 19.723349, 190.843416, 52.025093
66, 19.777706, 200.000000, 76.171724
67, 19.830742, 197.771132, 68.506323
68, 19.882367, 195.513017, 61.200527
69, 19.932538, 193.225345, 54.479919
70, 19.982130, 190.907813, 52.000000
71, 20.036600, 200.000000, 76.825630
72, 20.089757, 197.786722, 69.141759
73, 20.141511, 195.544378, 61.813658
74, 20.191777, 193.272662, 54.895324
75, 20.241370, 190.971270, 52.002487
76, 20.295833, 199.994957, 76.804791
77, 20.348985, 197.796976, 69.135343
78, 20.400740, 195.570104, 61.839517
